gene_id	S_2_SARS_5dpi_S70003	S_2_mock_5dpi_S70002	S_3_SARS_5dpi_S69996	S_3_mock_5dpi_S69997
ENSG00000142632	139	71	1	273
ENSG00000234166	0	0	0	0
ENSG00000237276	6	1	88	0
ENSG00000288398	84	109	88	161
ENSG00000132881	54	68	1	2
ENSG00000233929	2	1	5	0
ENSG00000037637	543	916	757	893
ENSG00000055070	613	835	1755	1009
ENSG00000226457	147	143	108	102
ENSG00000187144	0	0	180	0
ENSG00000157191	954	1330	4097	2937
ENSG00000226029	3	9	1	0
ENSG00000080947	20	51	0	91
ENSG00000206652	12	10	1	2
ENSG00000261135	1	0	10	0
ENSG00000285853	0	0	0	0
ENSG00000224174	0	0	0	0
ENSG00000233421	0	0	0	0
ENSG00000277344	0	0	0	0
ENSG00000225710	0	0	0	0
ENSG00000219481	206	306	681	427
ENSG00000271732	0	0	0	0
ENSG00000215908	210	301	0	133
ENSG00000283773	50	55	14	67
ENSG00000186301	60	113	180	151
ENSG00000282143	4	3	0	5
ENSG00000207513	13	11	0	6
ENSG00000280114	0	0	0	0
ENSG00000236698	711	877	1317	789
ENSG00000268869	2	0	1	1
ENSG00000279151	0	0	14	0
ENSG00000282740	0	0	0	0
ENSG00000058453	78	97	211	183
ENSG00000227684	2	0	0	0
ENSG00000207389	0	0	0	0
ENSG00000186715	73	146	235	223
ENSG00000223643	0	0	0	0
ENSG00000230239	0	0	0	0
ENSG00000263811	0	0	0	0
ENSG00000228549	1	0	0	0
ENSG00000277234	0	0	0	0
ENSG00000238142	9	10	30	13
ENSG00000235241	3	2	15	0
ENSG00000207005	2	0	0	0
ENSG00000272426	0	0	0	0
ENSG00000117122	160	98	139	197
ENSG00000286898	0	0	0	0
ENSG00000226526	0	0	0	0
ENSG00000159363	174	254	383	124
ENSG00000117118	1011	951	2427	1193
ENSG00000117115	36	71	0	27
ENSG00000204362	0	0	0	0
ENSG00000282843	0	0	0	0
ENSG00000142623	3	10	0	0
ENSG00000142619	38	48	0	190
ENSG00000266634	0	0	0	0
ENSG00000159339	0	0	0	0
ENSG00000276747	0	0	0	0
ENSG00000227751	0	0	0	0
ENSG00000179051	53	154	0	203
ENSG00000074964	314	734	945	570
ENSG00000236648	0	0	0	0
ENSG00000117148	0	0	0	0
ENSG00000284653	0	0	0	0
ENSG00000261781	0	0	0	0
ENSG00000117154	0	44	0	0
